relpath	family	optype	label	topic	text
CHOP/analyzeCHOP/example1	CHOP	analyzeCHOP	Analyze	function	These examples show the different functions of the Analyze CHOP.
CHOP/analyzeCHOP/example2	CHOP	analyzeCHOP	Analyze	no peak	This Analyze CHOP becomes -1 when there are no peaks in the input number.
CHOP/analyzeCHOP/example3	CHOP	analyzeCHOP	Analyze	RMS	"""""""These two examples get the RMS (Root Mean Squared) values of both the incoming Noise CHOP, and even more useful, for the incoming audio file. RMS is a way of measuring """"""""power"""""""" of a signal, and is similar to amplitude, but favors the peaks. The viewer of audiofilein1 is fixed at a range of -1 to 1 because of Viewer Active -> rclick -> Vertical Range set to -1 to +1."""""""
CHOP/analyzeCHOP/example4	CHOP	analyzeCHOP	Analyze	valid signal	The top case triggers off based on time thresholds, but assumes there are no jittery values in the signal. The next two examples will analyze, in this case a series of pulses to detect when the input signal is on (value 1) for a continuous .6 seconds. The second is do-it-yourself where you can nervously tap the button and nothing happens in trigger2. But if you hold, it triggers. It is useful for filtering out jittery inputs from inexact devices like Kinect or Leap. Analyze looks for the minimum value over .6 seconds, and if all samples over the last .6 seconds are above zero, the Trigger CHOP is triggered. The Trigger CHOP assures the output signal stays on for at least a definitive 2 seconds, and when Analyze goes to 0, the output signal stays on for an additional 1.5 seconds and then drops to 0 during 1 more second. Asjust all these parameters to taste. You can unbypass the Filter CHOP to be more lenient: the input signal can drop to 0 for up to .2 seconds. You can bypass the Logic CHOP to work with more raw analog data. Note the Filter CHOP is not Time Sliced - it's filtering the entire .6 seconds each frame it cooks.
CHOP/analyzeCHOP/example5	CHOP	analyzeCHOP	Analyze	adaptive calibrate zone	This keeps the XY range between 0 and 1, whether you are moving the input slightly or in a wide range. The Analyze CHOPs get the maximum and minimum values for X and Y over the past 10 seconds (Trail CHOP is set to 10 sec). Then the math_rangeX and math_rangeY CHOPs re-range the max/min so the values go from 0 to 1. If you want to fix the max/min range, just lock the Trail CHOPs or the Analyze CHOPs right after you move the inputs around to the XY full range that you want to operate in. If you want it adaptive over the last 20 seconds, unlock the Trail CHOPs and then unbypass the Lag CHOPs. It gives it an 10 extra seconds to blend to new max/min values. See their Clamp Slope values. The math_*Bump* CHOPs make sure that when the inputs go silent, the output is .5. props to elburz for original concept. Trail CHOPs have fixed range of -1 to +1 via the graph Viewer Active rclick menu.
CHOP/angleCHOP/example1	CHOP	angleCHOP	Angle	rad <-> deg	The first example shows the conversion from radians to degrees 360 degrees is 2 * PI radians The second example shows the conversion from degrees to radians 2 * PI radians = 360 degrees
CHOP/angleCHOP/example2	CHOP	angleCHOP	Angle	quaternions	The first example shows the conversion from quaternions to euler degrees, the second the other way around. More info here: https://en.wikipedia.org/wiki/Conversion_between_quaternions_and_Euler_angles
CHOP/angleCHOP/example3	CHOP	angleCHOP	Angle	two vectors	The two vector function allows you to convert 2 vectors to angles/quaternions. Both vectors need to be supplied in a 6 channel CHOP. The first vector represents the direction to the right (over x), the second upwards (over y). In the top example the up vector is rotated 45 degrees over X. The vectors dont have to be normalized.
CHOP/audiobandeqCHOP/example1	CHOP	audiobandeqCHOP	Audio Band EQ	bandeq	Draw on the 'multilevel' graph. It sets the band EQ levels. The center level is the 0-gain (default pass-through).
CHOP/audiodeviceinCHOP/example1	CHOP	audiodeviceinCHOP	Audio Device In	audio in	Choose your preferred input device in audiodevicein1 and then click the Audio On/Off button. WARNING: If you're using a built in laptop speakers and microphone, this example will feedback quickly.
